Country Name,Country Code,Indicator Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2018 [YR2018]
Armenia,ARM,Produced capital (constant 2018 US$),NW.PCA.TO,2.41E+10,2.40E+10,2.81E+10,4.07E+10,4.71E+10,5.10E+10
Armenia,ARM,Produced capital per capita (constant 2018 US$),NW.PCA.PC,7490.438,7821.801,9420.274,14149.75,16114.83,17262.64
Armenia,ARM,Total wealth (constant 2018 US$),NW.TOW.TO,6.47E+10,6.65E+10,9.14E+10,1.08E+11,1.35E+11,1.42E+11
Armenia,ARM,Total wealth per capita (constant 2018 US$),NW.TOW.PC,20106.6,21653.35,30652.96,37489.03,46254.66,48031.41
Australia,AUS,Human capital (constant 2018 US$),NW.HCA.TO,5.66E+12,6.58E+12,7.82E+12,9.24E+12,1.13E+13,1.18E+13
Australia,AUS,Human capital per capita (constant 2018 US$),NW.HCA.PC,313031.6,343709.6,383396.4,419486.5,475511.3,471842.6
Australia,AUS,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,97727.24,108324.4,122084,142935.6,157597.2,155716.3
Australia,AUS,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,185830.8,206308.7,225241.8,238594.9,271920.1,269201.4
Australia,AUS,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,107885.2,118335.1,134762.7,157155.3,174473.2,172912.5
Australia,AUS,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,205146.4,225374.5,248633.7,262331.2,301038.1,298930.1
Australia,AUS,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,10157.98,10010.69,12678.69,14219.78,16875.97,17196.18
Australia,AUS,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,19315.64,19065.81,23391.86,23736.34,29118,29728.64
Australia,AUS,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,1.77E+12,2.07E+12,2.49E+12,3.15E+12,3.75E+12,3.89E+12
